Date, Time, AB, H, EBH, HR, HHA, AVG, SLG, LPH, Points, LD %, FB %, GB %, AvgV, MaxV, Dist, Tag
11/21/2018, 2:24 PM, 39, 22, 8, 0, .410, .564, .769, 1.026, 1888, 62, 26, 13, 78.3, 91.0, 329, Warm up. Various half and 2/3's. 
11/20/2018, 3:07 PM, 35, 18, 6, 0, .543, .514, .686, 1.029, 1724, 49, 29, 23, 80.4, 90.9, 324, 
11/20/2018, 2:50 PM, 40, 19, 8, 0, .575, .475, .675, 1.000, 2084, 42, 35, 22, 81.3, 89.1, 330, up and away. 
11/20/2018, 2:41 PM, 31, 12, 5, 0, .548, .387, .548, .968, 1326, 42, 23, 35, 77.3, 90.8, 302, 
11/20/2018, 2:35 PM, 4, 1, 0, 0, .250, .250, .250, .750, 116, 50, 25, 25, 70.6, 83.2, 276, Mix of 
11/19/2018, 2:38 PM, 37, 16, 5, 0, .486, .432, .568, .838, 1605, 35, 38, 27, 77.8, 90.7, 321, Hack attack machine
11/19/2018, 2:33 PM, 24, 12, 1, 0, .250, .500, .542, .583, 562, 33, 17, 50, 70.0, 83.7, 274, Half hacks and 2/3 hacks mix
11/19/2018, 2:23 PM, 21, 14, 1, 0, .810, .667, .714, 1.381, 1162, 57, 10, 33, 82.7, 89.2, 306, 
11/19/2018, 2:10 PM, 29, 20, 16, 0, .724, .690, 1.241, 1.414, 1971, 69, 28, 3, 83.1, 88.2, 317, 
11/19/2018, 1:56 PM, 28, 15, 3, 0, .393, .536, .643, .929, 1439, 54, 36, 11, 79.5, 86.8, 297, Warm up. 
11/15/2018, 3:26 PM, 18, 15, 4, 0, .722, .833, 1.056, 1.389, 1028, 67, 11, 22, 83.0, 87.9, 297, 
11/8/2018, 5:59 PM, 11, 6, 1, 0, .545, .545, .636, 1.182, 587, 64, 9, 27, 82.6, 89.2, 277, 
11/8/2018, 5:20 PM, 10, 3, 1, 0, .600, .300, .400, 1.000, 511, 40, 40, 20, 78.4, 89.5, 287, 
